"fiscal_year","year","date","code","pref","municipality","municipality_name_when_happend","disaster","type","law","自治体名が変わった理由","自治体名が変わった理由2"
1994,1995,"1995-01-17","28100","兵庫県","神戸市","神戸市","阪神淡路大震災","地震",NA,NA,NA
1994,1995,"1995-01-17","28202","兵庫県","尼崎市","尼崎市","阪神淡路大震災","地震",NA,NA,NA
1994,1995,"1995-01-17","28204","兵庫県","西宮市","西宮市","阪神淡路大震災","地震",NA,NA,NA
1994,1995,"1995-01-17","28206","兵庫県","芦屋市","芦屋市","阪神淡路大震災","地震",NA,NA,NA
1994,1995,"1995-01-17","28207","兵庫県","伊丹市","伊丹市","阪神淡路大震災","地震",NA,NA,NA
1994,1995,"1995-01-17","28214","兵庫県","宝塚市","宝塚市","阪神淡路大震災","地震",NA,NA,NA
1994,1995,"1995-01-17","28217","兵庫県","川西市","川西市","阪神淡路大震災","地震",NA,NA,NA
1994,1995,"1995-01-17","28203","兵庫県","明石市","明石市","阪神淡路大震災","地震",NA,NA,NA
1994,1995,"1995-01-17","28215","兵庫県","三木市","三木市","阪神淡路大震災","地震",NA,NA,NA
1994,1995,"1995-01-17","28205","兵庫県","洲本市","洲本市","阪神淡路大震災","地震",NA,NA,NA
1994,1995,"1995-01-17","28226","兵庫県","淡路市","津名町","阪神淡路大震災","地震",NA,"津名町(28681)、淡路町(28682)、北淡町(28683)、一宮町(28684)、東浦町(28686)が合併し、淡路市(28226)を新設",NA
1994,1995,"1995-01-17","28226","兵庫県","淡路市","淡路町","阪神淡路大震災","地震",NA,"津名町(28681)、淡路町(28682)、北淡町(28683)、一宮町(28684)、東浦町(28686)が合併し、淡路市(28226)を新設",NA
1994,1995,"1995-01-17","28226","兵庫県","淡路市","北淡町","阪神淡路大震災","地震",NA,"津名町(28681)、淡路町(28682)、北淡町(28683)、一宮町(28684)、東浦町(28686)が合併し、淡路市(28226)を新設",NA
1994,1995,"1995-01-17","28226","兵庫県","淡路市","一宮町","阪神淡路大震災","地震",NA,"津名町(28681)、淡路町(28682)、北淡町(28683)、一宮町(28684)、東浦町(28686)が合併し、淡路市(28226)を新設",NA
1994,1995,"1995-01-17","28226","兵庫県","淡路市","東浦町","阪神淡路大震災","地震",NA,"津名町(28681)、淡路町(28682)、北淡町(28683)、一宮町(28684)、東浦町(28686)が合併し、淡路市(28226)を新設",NA
1994,1995,"1995-01-17","28205","兵庫県","洲本市","五色町","阪神淡路大震災","地震",NA,"洲本市(28205)、五色町(28685)が合併し、洲本市を新設
津名郡(28680)の廃止",NA
1994,1995,"1995-01-17","28224","兵庫県","南あわじ市","西淡町","阪神淡路大震災","地震",NA,"緑町(28701)、西淡町(28702)、三原町(28703)、南淡町(28704)が合併し、南あわじ市(28224)を新設
三原郡(28700)の廃止",NA
1994,1995,"1995-01-17","28224","兵庫県","南あわじ市","三原町","阪神淡路大震災","地震",NA,"緑町(28701)、西淡町(28702)、三原町(28703)、南淡町(28704)が合併し、南あわじ市(28224)を新設
三原郡(28700)の廃止",NA
1994,1995,"1995-01-17","28224","兵庫県","南あわじ市","緑町","阪神淡路大震災","地震",NA,"緑町(28701)、西淡町(28702)、三原町(28703)、南淡町(28704)が合併し、南あわじ市(28224)を新設
三原郡(28700)の廃止",NA
1994,1995,"1995-01-17","28224","兵庫県","南あわじ市","南淡町","阪神淡路大震災","地震",NA,"緑町(28701)、西淡町(28702)、三原町(28703)、南淡町(28704)が合併し、南あわじ市(28224)を新設
三原郡(28700)の廃止",NA
1994,1995,"1995-01-17","27203","大阪府","豊中市","豊中市","阪神淡路大震災","地震",NA,NA,NA
1994,1995,"1995-01-17","27100","大阪府","大阪市","大阪市","阪神淡路大震災","地震",NA,NA,NA
1994,1995,"1995-01-17","27204","大阪府","池田市","池田市","阪神淡路大震災","地震",NA,NA,NA
1994,1995,"1995-01-17","27205","大阪府","吹田市","吹田市","阪神淡路大震災","地震",NA,NA,NA
1994,1995,"1995-01-17","27220","大阪府","箕面市","箕面市","阪神淡路大震災","地震",NA,NA,NA
1995,1995,"1995-04-01","15223","新潟県","阿賀野市","笹神村","新潟県北部地震","地震",NA,"安田町(15301)、京ヶ瀬村(15302)、水原町(15303)、笹神村(15304)が合併し、阿賀野市(15223)を新設",NA
1995,1995,"1995-07-05","38207","愛媛県","大洲市","大洲市","7月3日からの大雨","雨・台風",NA,NA,NA
1995,1995,"1995-07-11","15222","新潟県","上越市","頸城村","平成7年7月梅雨前線豪雨","雨・台風",NA,"安塚町(15521)、浦川原村(15522)、大島村(15525)、牧村(15526)、柿崎町(15541)、大潟町(15542)、頸城村(15543)、吉川町(15544)、中郷村(15546)、板倉町(15548)、清里村(15549)、三和村(15550)、名立町(15561)が上越市(15222)に編入",NA
1995,1995,"1995-07-11","15222","新潟県","上越市","上越市","平成7年7月梅雨前線豪雨","雨・台風",NA,NA,NA
1995,1995,"1995-07-11","20486","長野県","小谷村","小谷村","平成7年7月梅雨前線豪雨","雨・台風",NA,NA,NA
1995,1995,"1995-07-12","20201","長野県","長野市","豊野町","平成7年7月梅雨前線豪雨","雨・台風",NA,"大岡村(20502)、豊野町(20582)、戸隠村(20586)、鬼無里村(20587)が長野市(20201)に編入
更級郡(20500)の廃止",NA
1995,1995,"1995-08-01","15205","新潟県","柏崎市","西山町","8月10日からの大雨","雨・台風",NA,"高柳町(15501)、西山町(15505)が柏崎市(15205)に編入",NA
1996,1996,"1996-09-22","11100","埼玉県","さいたま市","与野市","台風第17号","雨・台風",NA,"浦和市(11204)、大宮市(11205)、与野市(11220)が合併し、さいたま市(11244)を新設","さいたま市(11244)のさいたま市(11100)への政令指定都市施行
西区(11101)、北区(11102)、大宮区(11103)、見沼区(11104)、中央区(11105)、桜区(11106)、浦和区(11107)、南区(11108)、緑区(11109)の新設"
1996,1996,"1996-09-22","12210","千葉県","茂原市","茂原市","台風第17号","雨・台風",NA,NA,NA
1996,1996,"1996-09-22","12422","千葉県","睦沢町","睦沢町","台風第17号","雨・台風",NA,NA,NA
1997,1997,"1997-07-01","46208","鹿児島県","出水市","出水市","平成9年7月梅雨前線豪雨","雨・台風",NA,NA,NA
1997,1997,"1997-09-16","44210","大分県","杵築市","杵築市","平成9年台風第19号","雨・台風",NA,NA,NA
1997,1997,"1997-09-16","45201","宮崎県","宮崎市","高岡町","平成9年台風第19号","雨・台風",NA,"高岡町(45381)が宮崎市(45201)に編入",NA
1997,1997,"1997-09-16","45206","宮崎県","日向市","東郷町","平成9年台風第19号","雨・台風",NA,"東郷町(45422)が日向市(45206)に編入",NA
